name,campus,building,floor,room,category,description
가톨릭세포치료사업단,성의교정,의산연본관,2F,2016,연구,""
공실,성의교정,의산연본관,2F,2017,시설,""
관절면역질환T2B센터,성의교정,의산연본관,2F,2018,연구,""
회의실,성의교정,의산연본관,2F,2019,회의,"2018호 회의실"
정보융합센터장실,성의교정,의산연본관,2F,2020,사무,""
가톨릭세포치료사업단,성의교정,의산연본관,2F,2021,연구,""
세포치료사업단,성의교정,의산연본관,2F,2022,연구,"박경호 교수"
연구실,성의교정,의산연본관,2F,2023,연구,""
연구실,성의교정,의산연본관,2F,2024,연구,""

가톨릭정밀의학연구센터,성의교정,의산연본관,3F,3017,연구,""

감염내과,성의교정,의산연본관,4F,4001,진료,""
내분비내과,성의교정,의산연본관,4F,4002,진료,""
공실,성의교정,의산연본관,4F,4003,시설,""
진단검사의학/혈액내과,성의교정,의산연본관,4F,4004,진료,""
이비인후과/신경과/내분비내과,성의교정,의산연본관,4F,4005,진료,""
세포조직공학연구소,성의교정,의산연본관,4F,4006,연구,"전흥재 교수"
공실,성의교정,의산연본관,4F,4008,시설,""
비뇨기과,성의교정,의산연본관,4F,4009,진료,""
이비인후과/외과/정형외과,성의교정,의산연본관,4F,4010,진료,""
공실,성의교정,의산연본관,4F,4011,시설,""
공실,성의교정,의산연본관,4F,4012,시설,""
시과학연구소,성의교정,의산연본관,4F,4017,연구,"세포치료사업단 포함"
