name,campus,building,floor,category,description,hours
근골격판독실,성의교정,대학본관,3,병원,의료,"",""

대학원강사대기실,성의교정,대학본관,3,학교,교육,"",""
보건의료경영대학원세미나실,성의교정,대학본관,3,학교,교육,"",""
보건의료경영대학원조교실,성의교정,대학본관,3,학교,사무,"",""

보건의료경영연구소,성의교정,대학본관,3,학교,연구,"가톨릭",""
임상치과대학원,성의교정,대학본관,3,학교,교육,"",""

대학원학생연구실,성의교정,대학본관,3,학교,연구,"보건의료경영",""
세미나실,성의교정,대학본관,3,학교,교육,"",""

간호대학실습준비실남,성의교정,대학본관,3,학교,교육,"",""
간호대학실습준비실여,성의교정,대학본관,3,학교,교육,"",""

의과대학실습준비실,성의교정,대학본관,3,학교,교육,"3/4학년",""

간호대학강의실301,성의교정,대학본관,3,학교,교육,"",""
간호대학강의실302,성의교정,대학본관,3,학교,교육,"",""

중앙의료원교육실,성의교정,대학본관,3,학교,교육,"",""

학생실습준비실,성의교정,대학본관,3,학교,교육,"",""
연구실,성의교정,대학본관,3,학교,연구,"",""
임상교수실(학교),성의교정,대학본관,3,학교,사무,"",""
name,campus,building,floor,zone,category,description,hours

혈액병원운영팀,성의교정,대학본관,4,병원,행정,"팀장실/갱의실/회의실",""

진단검사의학과교수실,성의교정,대학본관,4,병원,사무,"",""

심뇌혈관병원운영팀,성의교정,대학본관,4,병원,행정,"팀장실/갱의실/회의실",""

세포유전Unit,성의교정,대학본관,4,병원,연구,"",""
냉장고실,성의교정,대학본관,4,병원,시설,"세포유전Unit",""
냉동고실,성의교정,대학본관,4,병원,시설,"세포유전Unit",""
기록보관실,성의교정,대학본관,4,병원,시설,"세포유전Unit",""
판독실,성의교정,대학본관,4,병원,의료,"세포유전Unit",""
CMA검사실,성의교정,대학본관,4,병원,검사,"",""
FISH검사실,성의교정,대학본관,4,병원,검사,"",""
세포배양실,성의교정,대학본관,4,병원,연구,"",""
염색체검사실,성의교정,대학본관,4,병원,검사,"",""
세포유전자검사실,성의교정,대학본관,4,병원,검사,"",""
HAVEST실,성의교정,대학본관,4,병원,연구,"",""
조혈모세포보관실,성의교정,대학본관,4,병원,시설,"",""

진단검사의학과평가검사실,성의교정,대학본관,4,병원,검사,"",""
진단검사의학과냉장고실,성의교정,대학본관,4,병원,시설,"",""
진단검사의학과냉동고실,성의교정,대학본관,4,병원,시설,"",""
진단검사의학과창고,성의교정,대학본관,4,병원,시설,"",""
진단검사의학과검사실,성의교정,대학본관,4,병원,검사,"",""
갱의실남,성의교정,대학본관,4,병원,편의,"",""
갱의실여,성의교정,대학본관,4,병원,편의,"",""
임상교수실,성의교정,대학본관,4,병원,사무,"",""

간호대학강의실401,성의교정,대학본관,4,학교,교육,"",""
간호대학강의실402,성의교정,대학본관,4,학교,교육,"",""

국제보건의료연구소403,성의교정,대학본관,4,학교,연구,"예정",""
국제보건의료연구소404,성의교정,대학본관,4,학교,연구,"예정",""

노화대사질환연구소,성의교정,대학본관,4,학교,연구,"",""
연구실,성의교정,대학본관,4,학교,연구,"",""

총무팀임시창고,성의교정,대학본관,4,학교,시설,"",""

공실1,성의교정,대학본관,4,학교,기타,"",""
공실2,성의교정,대학본관,4,학교,기타,"",""
공실3,성의교정,대학본관,4,학교,기타,"",""
공실4,성의교정,대학본관,4,학교,기타,"",""

미화창고,성의교정,대학본관,4,학교,시설,"",""
name,campus,building,floor,zone,category,description,hours

의무기록팀,성의교정,대학본관,5,병원,행정,"","내원객 안내 금지"
의무기록팀갱의실,성의교정,대학본관,5,병원,편의,"",""
의무기록팀장실,성의교정,대학본관,5,병원,사무,"",""
의무기록팀창고,성의교정,대학본관,5,병원,시설,"",""
의무기록팀회의실,성의교정,대학본관,5,병원,공용,"",""
임상사무실,성의교정,대학본관,5,병원,사무,"",""

자료보관실,성의교정,대학본관,5,병원,시설,"별관 B2 / 직원동행 필수","내원객 안내 금지"

암병원운영팀,성의교정,대학본관,5,병원,행정,"",""
암병원회의실2,성의교정,대학본관,5,병원,공용,"",""
암병원팀장실,성의교정,대학본관,5,병원,사무,"",""
암병원창고,성의교정,대학본관,5,병원,시설,"",""
암병원갱의실,성의교정,대학본관,5,병원,편의,"",""

회의실509,성의교정,대학본관,5,병원,공용,"",""
회의실510,성의교정,대학본관,5,병원,공용,"",""

영상촬영스튜디오,성의교정,대학본관,5,병원,시설,"",""
공실,성의교정,대학본관,5,병원,기타,"",""
임상교수실,성의교정,대학본관,5,병원,사무,"",""
회의실,성의교정,대학본관,5,병원,공용,"",""
name,campus,building,floor,zone,category,description,hours

임상교수실,성의교정,대학본관,6,병원,사무,"",""
EPS실,성의교정,대학본관,6,병원,시설,"",""
TPS실,성의교정,대학본관,6,병원,시설,"",""
