name,building_name,floor,room,category,description
가톨릭세포치료사업단,의산연01,2F,2021,연구,
가톨릭세포치료사업단,의산연01,2F,2016,연구,
가톨릭세포치료사업단,의산연01,2F,2021,연구,
가톨릭정밀의학연구센터,의산연01,3F,3017,연구,
가톨릭정밀의학연구센터,의산연01,3F,3017,연구,
감염내과,의산연01,4F,4001,진료,
감염내과,의산연01,4F,4001,진료,
강의실,의산연01,1F,1002,교육,대학원
강의실,의산연01,1F,1003,교육,대학원
검체관리실,의산연01,1F,1018,연구,임상연구지원센터
계측실,의산연01,B1F,B105,연구,
공동기기실,의산연01,1F,1010,연구,
공실,의산연01,B1F,B122,시설,
공실,의산연01,B1F,B123,시설,
공실,의산연01,2F,2017,시설,
공실,의산연01,4F,4003,시설,
공실,의산연01,4F,4008,시설,
공실,의산연01,4F,4011,시설,
공실,의산연01,4F,4012,시설,
공실,의산연01,2F,2017,시설,
공실,의산연01,4F,4003,시설,
공실,의산연01,4F,4008,시설,
공실,의산연01,4F,4011,시설,
공실,의산연01,4F,4012,시설,
공조설비,의산연01,2F,2004,시설,"AHU-3, AHU-4"
공조설비,의산연01,2F,2004,시설,"AHU-3, AHU-4"
공조실,의산연01,2F,2007,시설,
공조실,의산연01,2F,2007,시설,
공초점현미경실,의산연01,1F,1010-2,연구,
관절면역질환T2B센터,의산연01,2F,2018,연구,
관절면역질환T2B센터,의산연01,2F,2018,연구,
교수실,의산연01,B1F,B101,사무,서태석 교수
교육실,의산연01,1F,1008,교육,
기관실,의산연01,B1F,B101,시설,관제실 내
남자미화탈의실,의산연01,2F,2015,시설,
남자미화탈의실,의산연01,2F,2015,시설,
내분비내과,의산연01,4F,4002,진료,
내분비내과,의산연01,4F,4002,진료,
대강당,의산연01,2F,2014,교육,
대강당,의산연01,2F,2014,교육,
대사영상실,의산연01,B1F,B106,연구,
멸균실,의산연01,1F,1016,연구,
문서보관실,의산연01,1F,1012,시설,가톨릭임상지원센터
물품보관실,의산연01,1F,1001,시설,
방사선분석실,의산연01,B1F,B104,연구,
비뇨기과,의산연01,4F,4009,진료,
비뇨기과,의산연01,4F,4009,진료,
산학협동실,의산연01,B1F,B110,연구,
세포배양실,의산연01,1F,1015,연구,
세포생산관리사무실,의산연01,2F,2011,행정,
세포생산관리사무실,의산연01,2F,2011,행정,
세포생산실,의산연01,2F,2006,연구,가톨릭세포치료사업단
세포생산실,의산연01,2F,2009,연구,B구역
세포생산실,의산연01,2F,2010,연구,A구역
세포생산실,의산연01,2F,2006,연구,가톨릭세포치료사업단
세포생산실,의산연01,2F,2009,연구,B구역
세포생산실,의산연01,2F,2010,연구,A구역
세포조직공학연구소,의산연01,4F,4006,연구,전흥재 교수
세포조직공학연구소,의산연01,4F,4006,연구,전흥재 교수
세포치료사업단,의산연01,2F,2022,연구,박경호 교수
세포치료사업단,의산연01,2F,2022,연구,박경호 교수
시과학연구소,의산연01,4F,4017,연구,세포치료사업단 포함
시과학연구소,의산연01,4F,4017,연구,세포치료사업단 포함
실험실,의산연01,1F,1011,연구,
실험실,의산연01,2F,2002,연구,
실험실,의산연01,2F,2003,연구,
실험실,의산연01,2F,2002,연구,
실험실,의산연01,2F,2003,연구,
암실,의산연01,1F,1017,연구,
여자미화대기실,의산연01,B1F,B118,시설,
연구기술지원팀,의산연01,1F,1009,행정,
연구실,의산연01,1F,1006,연구,
연구실,의산연01,1F,1007,연구,"1007-1,2,3"
연구실,의산연01,2F,2023,연구,
연구실,의산연01,2F,2024,연구,
연구실,의산연01,2F,2023,연구,
연구실,의산연01,2F,2024,연구,
연구원휴게실,의산연01,1F,1004,편의,
외과중앙연구소,의산연01,1F,1013,연구,
