name,campus,building,floor,category,description,hours
로봇수술트레이닝센터,성의교정,서울성모병원,-1,,의료,
롤링핀,성의교정,서울성모병원,-1,,상업,
류마티스내과병동,성의교정,서울성모병원,14,병동,14-1,
류마티스센터,성의교정,서울성모병원,2,진료,,
리김밥,성의교정,서울성모병원,-1,,상업,
린넨실,성의교정,서울성모병원,-2,,시설,
마취과교수실,성의교정,서울성모병원,5,사무,,
마취과의국,성의교정,서울성모병원,5,사무,수술실 내부,
만성신부전교육,성의교정,서울성모병원,1,,지원,
면역검사실,성의교정,서울성모병원,4,검사,,
면회안내,성의교정,서울성모병원,5,안내,위독/임종기 외 면회 제한,
모발검사,성의교정,서울성모병원,1,,검사,
물리치료실,성의교정,서울성모병원,2,치료,,
물품보관함,성의교정,서울성모병원,-1,,편의,
미생물부,성의교정,서울성모병원,4,검사,,
미화사무실,성의교정,서울성모병원,-3,5000,사무,
박동기클리닉,성의교정,서울성모병원,2,진료,,
반송기계실,성의교정,서울성모병원,-2,,시설,
발성치료실,성의교정,서울성모병원,3,치료,,
방광경실,성의교정,서울성모병원,4,검사,,
방사선종양학과,성의교정,서울성모병원,-1,,진료,
방사선종양학과의국,성의교정,서울성모병원,-1,,사무,
법무팀,성의교정,서울성모병원,1,원무,고객상담 포함,평일 08:00~16:30
병동약국,성의교정,서울성모병원,-2,,의료,
병동약국안내,성의교정,서울성모병원,1,안내,이후 B2 병동약국 이용,
병리과,성의교정,서울성모병원,4,진료,,
보존과,성의교정,서울성모병원,4,진료,,
보철과,성의교정,서울성모병원,4,진료,,
보청기실,성의교정,서울성모병원,3,시설,,
보호자대기실,성의교정,서울성모병원,5,편의,현재 운영X,
복막투석실,성의교정,서울성모병원,1,,진료,
복부판독실,성의교정,서울성모병원,2,시설,,
복수천자검사,성의교정,서울성모병원,3,검사,,
복약상담실,성의교정,서울성모병원,6,의료,,
본죽,성의교정,서울성모병원,-1,,상업,
부인암병동,성의교정,서울성모병원,16,병동,16-1,
부인암병동,성의교정,서울성모병원,16,병동,16-1,
북문,성의교정,서울성모병원,1,시설,일요일/공휴일 폐쇄,평일 06:00~18:00 / 토 06:00~14:00
분만실,성의교정,서울성모병원,9,의료,,
분자병리클리닉,성의교정,서울성모병원,4,검사,,
비강검사실,성의교정,서울성모병원,3,검사,,
비뇨기과병동,성의교정,서울성모병원,8,병동,08-02,
비뇨기과의국,성의교정,서울성모병원,16,사무,,
비뇨기과의국,성의교정,서울성모병원,16,사무,,
비뇨의학과,성의교정,서울성모병원,4,진료,,
비만외과병동,성의교정,서울성모병원,15,병동,,
뼈관절스캔,성의교정,서울성모병원,-1,,검사,
뼈스캔,성의교정,서울성모병원,-1,,검사,
사회사업팀,성의교정,서울성모병원,6,사무,,
산부인과,성의교정,서울성모병원,3,진료,자궁근종센터/부인암센터,
산부인과병동,성의교정,서울성모병원,8,병동,8-0,
산부인과병동(산과),성의교정,서울성모병원,9,병동,9-0,
산부인과의국,성의교정,서울성모병원,9,사무,2813,
산부인과학교실,성의교정,서울성모병원,9,사무,2814,
산업의학과의국,성의교정,서울성모병원,15,사무,직업환경의학과,
샐러드박스,성의교정,서울성모병원,-1,,상업,
생화학부,성의교정,서울성모병원,4,검사,,
선천성질환센터,성의교정,서울성모병원,3,진료,피부과 옆,
설비팀,성의교정,서울성모병원,-6,,사무,
성당,성의교정,서울성모병원,1,시설,미사 운영,05:00~00:00
성물방,성의교정,서울성모병원,-1,,상업,
성분헌혈실,성의교정,서울성모병원,4,검사,사혈실,
성형외과,성의교정,서울성모병원,3,진료,,
성형외과병동,성의교정,서울성모병원,12,병동,12-01,
성형외과의국,성의교정,서울성모병원,12,사무,,
세미나실,성의교정,서울성모병원,-1,,공용,
세븐일레븐,성의교정,서울성모병원,-1,,편의,
세탁실,성의교정,서울성모병원,-2,,시설,
세포영양검사,성의교정,서울성모병원,1,,검사,
세포치료센터,성의교정,서울성모병원,1,,진료,
소변검사,성의교정,서울성모병원,1,,검사,
소아결핵검사,성의교정,서울성모병원,1,,검사,
소아심장초음파실,성의교정,서울성모병원,4,검사,,평일 08:00~17:10
소아안센터,성의교정,서울성모병원,1,,진료,
소아외과,성의교정,서울성모병원,1,,진료,
소아외과병동,성의교정,서울성모병원,15,병동,15-1,
소아응급실,성의교정,서울성모병원,1,,진료,
소아청소년과,성의교정,서울성모병원,1,,진료,
소아청소년과병동,성의교정,서울성모병원,11,병동,11-01,
소아청소년과의국,성의교정,서울성모병원,11,사무,,
소아체성분검사,성의교정,서울성모병원,1,,검사,
소아호르몬검사,성의교정,서울성모병원,1,,검사,
소화기내과병동,성의교정,서울성모병원,13,병동,13-2,
소화기센터,성의교정,서울성모병원,3,진료,,
소화기암병동,성의교정,서울성모병원,15,병동,,
수납(안센터옆),성의교정,서울성모병원,1,원무,안센터 옆 수납,평일 06:30~18:00 / 토 06:30~12:30
수납(외래약국앞),성의교정,서울성모병원,1,원무,외래약국 앞 수납,평일 08:00~20:00 / 토 08:30~14:00
수면다윈검사실,성의교정,서울성모병원,10,검사,,
수술실,성의교정,서울성모병원,5,의료,,
수술전준비실,성의교정,서울성모병원,5,의료,,
수술전협진실,성의교정,서울성모병원,2,진료,,08:00~17:00
수유실,성의교정,서울성모병원,1,,편의,
수유실,성의교정,서울성모병원,3,편의,,평일 08:00~17:30 / 토 08:30~12:00
수혈관리실,성의교정,서울성모병원,4,시설,,
수혈실,성의교정,서울성모병원,1,,진료,
순환기내과,성의교정,서울성모병원,2,진료,,
순환기내과병동,성의교정,서울성모병원,14,병동,14-2,
신경계중환자실,성의교정,서울성모병원,10,중환자실,NCU,면회 제한
신경과,성의교정,서울성모병원,2,진료,,
신경과병동,성의교정,서울성모병원,8,병동,08-01,
신경과의국,성의교정,서울성모병원,10,사무,,
신경외과,성의교정,서울성모병원,2,진료,,
신경외과병동,성의교정,서울성모병원,10,병동,10-01,
신경외과병동2,성의교정,서울성모병원,10,병동,10-02,
신경외과의국,성의교정,서울성모병원,10,사무,,
신경판독실,성의교정,서울성모병원,2,시설,,
신생아실,성의교정,서울성모병원,9,병동,,
신생아중환자실,성의교정,서울성모병원,9,중환자실,NICU A/B,11:00~11:30 면회
신장내과,성의교정,서울성모병원,1,,진료,
신장내과병동,성의교정,서울성모병원,11,병동,,
신장스캔,성의교정,서울성모병원,-1,,검사,
신장초음파,성의교정,서울성모병원,1,,검사,
신협,성의교정,서울성모병원,-1,,금융,
심뇌혈관병원,성의교정,서울성모병원,2,진료,,
심리검사,성의교정,서울성모병원,3,검사,,
심리치료실,성의교정,서울성모병원,2,치료,,
심장기능검사실,성의교정,서울성모병원,2,검사,홀터검사,24시간
심장운동검사,성의교정,서울성모병원,-1,,검사,
심장중환자실,성의교정,서울성모병원,5,의료,CCU,
심장초음파실,성의교정,서울성모병원,4,검사,,평일 08:00~17:10
심장혈관흉부외과,성의교정,서울성모병원,2,진료,,
심전도검사,성의교정,서울성모병원,2,검사,,
심전도검사,성의교정,서울성모병원,3,검사,,
심혈관촬영실,성의교정,서울성모병원,5,검사,심혈관조영술,
아띠모,성의교정,서울성모병원,-1,,상업,
안경점,성의교정,서울성모병원,-1,,상업,
안과병동,성의교정,서울성모병원,12,병동,12-01,
안과의국,성의교정,서울성모병원,13,사무,,
안센터,성의교정,서울성모병원,1,,진료,
안저검사,성의교정,서울성모병원,1,,검사,
안전상황실,성의교정,서울성모병원,-1,,시설,
알레르기검사실,성의교정,서울성모병원,3,검사,,
암센터,성의교정,서울성모병원,3,진료,,
암센터조제UNIT,성의교정,서울성모병원,6,의료,,
암센터조제실,성의교정,서울성모병원,6,의료,,
야외정원,성의교정,서울성모병원,7,편의,,
약제부,성의교정,서울성모병원,-2,,의료,
어린이학교,성의교정,서울성모병원,20,시설,HICU 연계,
언어검사,성의교정,서울성모병원,3,검사,,
언어치료실,성의교정,서울성모병원,2,치료,,
엑티칼검사,성의교정,서울성모병원,1,,검사,
연하검사,성의교정,서울성모병원,2,검사,삼킴검사,
영상의학과,성의교정,서울성모병원,2,진료,CT/MRI/X-RAY,24시간
영상의학과의국,성의교정,서울성모병원,2,사무,,
영상의학과회의실,성의교정,서울성모병원,2,공용,,
영상자료관리실,성의교정,서울성모병원,2,시설,,
영상정보실,성의교정,서울성모병원,2,시설,,
영양상담실,성의교정,서울성모병원,-1,,지원,
영양팀,성의교정,서울성모병원,-1,,사무,
예방접종센터,성의교정,서울성모병원,2,진료,,
옥진주상담,성의교정,서울성모병원,4,상담,개원 관련 상담,평일 08:30~16:30 / 토 08:30~11:30
올가홀푸드,성의교정,서울성모병원,-1,,상업,
외과,성의교정,서울성모병원,1,,진료,
외과중환자실,성의교정,서울성모병원,5,의료,SICU,
외래,성의교정,서울성모병원,-1,,진료,
외래,성의교정,서울성모병원,1,,진료,
외래,성의교정,서울성모병원,2,진료,2층 외래,
외래,성의교정,서울성모병원,3,진료,3층 외래,
외래,성의교정,서울성모병원,4,진료,4층 외래,
외래약국,성의교정,서울성모병원,1,편의,외래 약국,평일 08:00~18:00 / 토 08:00~13:00
외래원무팀,성의교정,서울성모병원,1,원무,내원객 안내 제외,평일/토 08:00~17:00
외래주사실,성의교정,서울성모병원,1,,진료,
요속검사,성의교정,서울성모병원,4,검사,,
요역동검사,성의교정,서울성모병원,4,검사,,
우리은행,성의교정,서울성모병원,-1,,금융,
운동부하검사,성의교정,서울성모병원,2,검사,,
운동부하심장초음파,성의교정,서울성모병원,4,검사,,
운동처방,성의교정,서울성모병원,1,,지원,
운동치료실,성의교정,서울성모병원,2,치료,,
운행지원UNIT,성의교정,서울성모병원,-2,,시설,
위장관기능검사,성의교정,서울성모병원,3,검사,,
위장관외과,성의교정,서울성모병원,1,,진료,
위장관외과병동,성의교정,서울성모병원,15,병동,15-1,
유방갑상선외과병동,성의교정,서울성모병원,12,병동,12-01,
유방암센터,성의교정,서울성모병원,3,진료,,
유방초음파,성의교정,서울성모병원,3,검사,,
유방촬영,성의교정,서울성모병원,3,검사,당일 가능,
유방촬영실,성의교정,서울성모병원,2,검사,,08:00~17:00
유방판독실,성의교정,서울성모병원,2,시설,,
유전진단검사센터,성의교정,서울성모병원,4,검사,,
음성검사실,성의교정,서울성모병원,3,검사,,
